Product ID,Published State,Purchase Type,Auto Translate,Locale; Title; Description,Auto Fill Prices,Price,Pricing Template ID
iwi.combatris.noads,published,managed_by_android,false,en_US;No Ads;Remove ads.,false,,4635917700229606841
iwi.combatris.coinpack,published,managed_by_android,false,en_US;Coin Pack;Coin package.,false,,4635355193325757558
iwi.combatris.piggycoinpack,published,managed_by_android,false,en_US;Piggy Coin Pack;Piggy coin package.,false,,4636166173328665450
iwi.combatris.ticketpack,published,managed_by_android,false,en_US;Ticket Pack;Ticket package.,false,,4635917700229606841
iwi.combatris.healthpack,published,managed_by_android,false,en_US;Health Pack;Health package.,false,,4635355193325757558
iwi.combatris.offerpack1,published,managed_by_android,false,en_US;Offer Pack 1;Offer package 1.,false,,4638005607313246553
iwi.combatris.offerpack2,published,managed_by_android,false,en_US;Offer Pack 2;Offer package 2.,false,,4635846852251415466
iwi.combatris.offerpack3,published,managed_by_android,false,en_US;Offer Pack 3;Offer package 3.,false,,4635593793334207563
iwi.combatris.offerpack4,published,managed_by_android,false,en_US;Offer Pack 4;Offer package 4.,false,,4635512237435176232
iwi.combatris.offerpack5,published,managed_by_android,false,en_US;Offer Pack 5;Offer package 5.,false,,4635355553554812455
